2026-08-12 12:58:55,115 | INFO | Connected to Gemini WebSocket
2026-08-12 12:59:13,682 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3507251500
2026-08-12 12:59:13,781 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3507251500
2026-08-12 12:59:13,984 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3507251500
2026-08-12 12:59:14,083 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3507251500
2026-08-12 12:59:14,182 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3506472500
2026-08-12 12:59:14,283 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3506472500
2026-08-12 12:59:14,382 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3506472500
2026-08-12 12:59:14,582 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3506472500
2026-08-12 12:59:14,683 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3505693500
2026-08-12 12:59:14,782 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3505693500
2026-08-12 12:59:15,023 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3505693500
2026-08-12 12:59:15,182 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3505693500
2026-08-12 12:59:15,283 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3505693500
2026-08-12 12:59:15,383 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3505693500
2026-08-12 12:59:15,581 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3505693500
2026-08-12 12:59:15,682 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3505693500
2026-08-12 12:59:15,783 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3505693500
2026-08-12 12:59:16,082 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3505693500
2026-08-12 12:59:16,284 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3505693500
2026-08-12 12:59:16,679 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3505693500
2026-08-12 12:59:16,682 | INFO | 64177.64000 0.0898126000 - 64177.65000 0.3505693500
